"date_pt","whale_presence_rating","vsr_season","s_fincount","fin_acoustic","s_humpbackcount","humpback_acoustic","s_bluecount","blue_acoustic","bwmv","bwmv_rating"
2023-03-02,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-03-03,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-03-04,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-03-05,"Low","inactive",0,"Low Rating",1,"Low Rating",0,"Low Rating",0.01,"low"
2023-03-06,"Low","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-03-07,"Medium","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-03-08,"Medium","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-03-09,"Medium","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-03-10,"Low","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.02,"low"
2023-03-11,"Medium","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.02,"low"
2023-03-12,"Medium","inactive",0,"Low Rating",0,"High Rating",0,"Low Rating",0.02,"low"
2023-03-13,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-03-14,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-03-15,"High","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.03,"low"
2023-03-16,"High","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.02,"low"
2023-03-17,"High","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.02,"low"
2023-03-18,"Medium","inactive",0,"Medium Rating",0,"High Rating",0,"Low Rating",0.02,"low"
2023-03-19,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-03-20,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-03-21,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-03-22,"High","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.02,"low"
2023-03-23,"Medium","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-03-24,"Medium","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-03-25,"Medium","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-03-26,"Medium","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-03-27,"Medium","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.01,"low"
2023-03-28,"Medium","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.01,"low"
2023-03-29,"High","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.01,"low"
2023-03-30,"Medium","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.01,"low"
2023-03-31,"Medium","inactive",0,"Low Rating",5,"Medium Rating",0,"Low Rating",0.01,"low"
2023-04-01,"Medium","inactive",0,"Low Rating",0,"High Rating",0,"Low Rating",0.05,"low"
2023-04-02,"High","inactive",0,"Low Rating",4,"High Rating",0,"Low Rating",0.06,"low"
2023-04-03,"High","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.02,"low"
2023-04-04,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-04-05,"High","inactive",0,"Medium Rating",3,"Medium Rating",0,"Low Rating",0.02,"low"
2023-04-06,"High","inactive",0,"Low Rating",2,"High Rating",0,"Low Rating",0.02,"low"
2023-04-07,"Medium","inactive",0,"Low Rating",0,"High Rating",0,"Low Rating",0.02,"low"
2023-04-08,"High","inactive",0,"Low Rating",2,"Low Rating",0,"Low Rating",0.02,"low"
2023-04-09,"High","inactive",0,"Low Rating",8,"Medium Rating",0,"Low Rating",0.06,"low"
2023-04-10,"High","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.06,"low"
2023-04-11,"High","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.05,"low"
2023-04-12,"High","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.02,"low"
2023-04-13,"High","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.01,"low"
2023-04-14,"Medium","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.01,"low"
2023-04-15,"Medium","inactive",0,"Low Rating",1,"Medium Rating",0,"Low Rating",0.02,"low"
2023-04-16,"High","inactive",0,"Low Rating",2,"Medium Rating",0,"Medium Rating",0.02,"low"
2023-04-17,"High","inactive",0,"Medium Rating",0,"Medium Rating",0,"High Rating",0.01,"low"
2023-04-18,"Very High","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.02,"low"
2023-04-19,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-04-20,"High","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.02,"low"
2023-04-21,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Medium Rating",0.02,"low"
2023-04-22,"Medium","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-04-23,"Medium","inactive",0,"Low Rating",0,"Low Rating",0,"Medium Rating",0.02,"low"
2023-04-24,"Medium","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.02,"low"
2023-04-25,"High","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.01,"low"
2023-04-26,"Medium","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.01,"low"
2023-04-27,"Medium","inactive",0,"Low Rating",0,"Medium Rating",0,"Medium Rating",0.05,"low"
2023-04-28,"Medium","inactive",0,"Low Rating",0,"Medium Rating",0,"Medium Rating",0.09,"low"
2023-04-29,"High","inactive",0,"Low Rating",0,"Medium Rating",0,"Medium Rating",0.23,"low"
2023-04-30,"Medium","inactive",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.13,"low"
2023-05-01,"Medium","active",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.04,"low"
2023-05-02,"Medium","active",0,"Low Rating",0,"Medium Rating",0,"Medium Rating",0.02,"low"
2023-05-03,"Medium","active",0,"Low Rating",0,"Medium Rating",0,"High Rating",0.03,"low"
2023-05-04,"Medium","active",0,"Low Rating",0,"Medium Rating",0,"Medium Rating",0.03,"low"
2023-05-05,"High","active",0,"Low Rating",4,"Medium Rating",0,"Medium Rating",0.07,"low"
2023-05-06,"High","active",0,"Low Rating",0,"High Rating",0,"Low Rating",0.07,"low"
2023-05-07,"Very High","active",0,"Low Rating",4,"High Rating",0,"High Rating",NA,"offline"
2023-05-08,"Very High","active",0,"Low Rating",0,"High Rating",0,"High Rating",NA,"offline"
2023-05-09,"Very High","active",0,"Low Rating",0,"Medium Rating",0,"Medium Rating",NA,"offline"
2023-05-10,"Very High","active",0,"Low Rating",0,"High Rating",0,"Low Rating",NA,"offline"
2023-05-11,"Very High","active",0,"Low Rating",18,"High Rating",0,"Medium Rating",NA,"offline"
2023-05-12,"Very High","active",0,"Low Rating",0,"Medium Rating",0,"Low Rating",NA,"offline"
2023-05-13,"Very High","active",0,"Low Rating",5,"Medium Rating",0,"High Rating",0.04,"low"
2023-05-14,"High","active",0,"Low Rating",0,"Medium Rating",0,"Low Rating",0.08,"low"
2023-05-15,"High","active",0,"Low Rating",0,"Medium Rating",0,"Medium Rating",0.22,"low"
2023-05-16,"Medium","active",0,"Low Rating",0,"Medium Rating",0,"High Rating",0.15,"low"
2023-05-17,"High","active",0,"Low Rating",0,"Medium Rating",0,"High Rating",0.05,"low"
2023-05-18,"Very High","active",0,"Low Rating",0,"Medium Rating",0,"High Rating",0.05,"low"
2023-05-19,"High","active",0,"Low Rating",0,"Medium Rating",0,"High Rating",0.03,"low"
2023-05-20,"High","active",0,"Low Rating",0,"High Rating",0,"High Rating",0.03,"low"
2023-05-21,"Very High","active",0,"Medium Rating",0,"Medium Rating",0,"High Rating",0.03,"low"
2023-05-22,"Very High","active",0,"Low Rating",0,"High Rating",0,"High Rating",0.08,"low"
2023-05-23,"Very High","active",0,"Medium Rating",0,"High Rating",0,"High Rating",0.15,"low"
2023-05-24,"Very High","active",0,"Low Rating",0,"High Rating",0,"High Rating",0.13,"low"
2023-05-25,"Very High","active",0,"Low Rating",0,"Medium Rating",0,"Medium Rating",0.13,"low"
2023-05-26,"Very High","active",0,"Low Rating",4,"Medium Rating",0,"Medium Rating",0.13,"low"
2023-05-27,"Very High","active",0,"Low Rating",8,"Medium Rating",0,"Medium Rating",0.13,"low"
2023-05-28,"Very High","active",0,"Low Rating",0,"Medium Rating",0,"Medium Rating",0.12,"low"
2023-05-29,"Very High","active",0,"Low Rating",6,"Medium Rating",0,"High Rating",0.17,"low"
2023-05-30,"Very High","active",0,"Low Rating",59,"Medium Rating",0,"Medium Rating",0.21,"low"
2023-05-31,"Very High","active",0,"Medium Rating",0,"Medium Rating",0,"High Rating",0.19,"low"
2023-06-01,"Very High","active",0,"Low Rating",0,"Medium Rating",0,"High Rating",0.14,"low"
2023-06-02,"Very High","active",0,"Low Rating",0,"Medium Rating",0,"High Rating",0.18,"low"
2023-06-03,"Very High","active",0,"Medium Rating",0,"Medium Rating",0,"High Rating",0.35,"low"
2023-06-04,"Very High","active",0,"Low Rating",0,"High Rating",0,"Medium Rating",0.21,"low"
2023-06-05,"Very High","active",0,"Low Rating",0,"High Rating",0,"High Rating",0.24,"low"
2023-06-06,"Very High","active",0,"Low Rating",0,"High Rating",0,"High Rating",0.23,"low"
2023-06-07,"Very High","active",0,"Low Rating",26,"High Rating",0,"Medium Rating",0.24,"low"
2023-06-08,"Very High","active",0,"Low Rating",148,"Medium Rating",0,"Medium Rating",0.21,"low"
