date_pt,whale_presence_rating,vsr_season,s_fincount,fin_acoustic,s_humpbackcount,humpback_acoustic,s_bluecount,blue_acoustic,bwmv,bwmv_rating,blue_acoustic_count,fin_acoustic_count,humpback_acoustic_count,n_periods,blue_acoustic_percent,fin_acoustic_percent,humpback_acoustic_percent,zone
2/11/2021,Low,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.05,low,0,11,0,57,0,19,0,Socal VSR
2/12/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.05,low,0,13,0,72,0,18,0,Socal VSR
2/13/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.05,low,0,18,0,42,0,43,0,Socal VSR
2/14/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.04,low,0,11,0,24,0,46,0,Socal VSR
2/15/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.04,low,0,10,0,20,0,50,0,Socal VSR
2/16/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.04,low,0,0,0,4,0,0,0,Socal VSR
2/17/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.04,low,0,4,0,5,0,80,0,Socal VSR
2/18/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.04,low,0,0,0,9,0,0,0,Socal VSR
2/19/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.04,low,0,0,0,82,0,0,0,Socal VSR
2/20/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.04,low,0,12,0,55,0,22,0,Socal VSR
2/21/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.04,low,0,7,0,25,0,28,0,Socal VSR
2/22/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.04,low,0,1,0,51,0,2,0,Socal VSR
2/23/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.05,low,0,0,0,40,0,0,0,Socal VSR
2/24/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.06,low,0,1,0,36,0,3,0,Socal VSR
2/25/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.07,low,0,0,0,54,0,0,0,Socal VSR
2/26/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.08,low,0,6,0,63,0,10,0,Socal VSR
2/27/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,NA,offline,0,6,0,48,0,12,0,Socal VSR
2/28/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.08,low,0,4,0,58,0,7,0,Socal VSR
3/1/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.08,low,0,1,0,61,0,2,0,Socal VSR
3/2/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.09,low,0,0,0,89,0,0,0,Socal VSR
3/3/2021,High,inactive,0,Low Rating,0,Medium Rating,0,Low Rating,0.07,low,0,0,2,70,0,0,3,Socal VSR
3/4/2021,High,inactive,0,Medium Rating,0,Medium Rating,0,Low Rating,0.09,low,0,1,2,83,0,1,2,Socal VSR
3/5/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.1,low,0,0,0,70,0,0,0,Socal VSR
3/6/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.07,low,0,2,0,57,0,4,0,Socal VSR
3/7/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.07,low,0,0,0,49,0,0,0,Socal VSR
3/8/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.08,low,0,0,0,65,0,0,0,Socal VSR
3/9/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.08,low,0,0,0,85,0,0,0,Socal VSR
3/10/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.06,low,0,0,0,70,0,0,0,Socal VSR
3/11/2021,Low,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.06,low,0,1,0,60,0,2,0,Socal VSR
3/12/2021,Low,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.05,low,0,0,0,71,0,0,0,Socal VSR
3/13/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.06,low,0,0,0,44,0,0,0,Socal VSR
3/14/2021,High,inactive,0,Low Rating,0,Medium Rating,0,Low Rating,0.05,low,0,0,3,59,0,0,5,Socal VSR
3/15/2021,High,inactive,0,Low Rating,0,Medium Rating,0,Low Rating,0.05,low,0,0,4,51,0,0,8,Socal VSR
3/16/2021,Low,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.04,low,0,0,0,63,0,0,0,Socal VSR
3/17/2021,Medium,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.04,low,0,0,0,72,0,0,0,Socal VSR
3/18/2021,Medium,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.03,low,0,0,0,79,0,0,0,Socal VSR
3/19/2021,Medium,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.03,low,0,0,0,83,0,0,0,Socal VSR
3/20/2021,Medium,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.04,low,0,0,0,83,0,0,0,Socal VSR
3/21/2021,Low,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.05,low,0,0,0,56,0,0,0,Socal VSR
3/22/2021,Low,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.05,low,0,0,0,46,0,0,0,Socal VSR
3/23/2021,Low,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.04,low,0,8,0,44,0,18,0,Socal VSR
3/24/2021,Low,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.05,low,0,1,0,62,0,2,0,Socal VSR
3/25/2021,Low,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.05,low,0,0,0,50,0,0,0,Socal VSR
3/26/2021,High,inactive,0,Medium Rating,0,Medium Rating,0,Low Rating,0.04,low,0,2,3,57,0,4,5,Socal VSR
3/27/2021,High,inactive,0,Medium Rating,1,Medium Rating,0,Low Rating,0.05,low,0,4,8,57,0,7,14,Socal VSR
3/28/2021,High,inactive,0,Medium Rating,0,Medium Rating,0,Low Rating,0.05,low,0,2,1,51,0,4,2,Socal VSR
3/29/2021,High,inactive,0,High Rating,2,Low Rating,0,Low Rating,0.07,low,0,4,0,7,0,57,0,Socal VSR
3/30/2021,High,inactive,0,offline,0,offline,0,offline,0.09,low,NA,NA,NA,NA,NA,NA,NA,Socal VSR
3/31/2021,High,inactive,0,offline,0,offline,0,offline,0.16,low,NA,NA,NA,NA,NA,NA,NA,Socal VSR
4/1/2021,High,inactive,4,offline,0,offline,0,offline,0.27,low,NA,NA,NA,NA,NA,NA,NA,Socal VSR
4/2/2021,High,inactive,0,offline,0,offline,0,offline,0.27,low,NA,NA,NA,NA,NA,NA,NA,Socal VSR
4/3/2021,Low,inactive,0,offline,0,offline,0,offline,0.22,low,NA,NA,NA,NA,NA,NA,NA,Socal VSR
4/4/2021,Low,inactive,0,offline,6,offline,0,offline,0.18,low,NA,NA,NA,NA,NA,NA,NA,Socal VSR
4/5/2021,Medium,inactive,0,offline,1,offline,0,offline,0.2,low,NA,NA,NA,NA,NA,NA,NA,Socal VSR
4/6/2021,Medium,inactive,0,offline,4,offline,0,offline,0.2,low,NA,NA,NA,NA,NA,NA,NA,Socal VSR
4/7/2021,Medium,inactive,0,offline,0,offline,0,offline,0.17,low,NA,NA,NA,NA,NA,NA,NA,Socal VSR
4/8/2021,Medium,inactive,0,offline,0,offline,0,offline,0.16,low,NA,NA,NA,NA,NA,NA,NA,Socal VSR
