date_pt,whale_presence_rating,vsr_season,s_fincount,fin_acoustic,s_humpbackcount,humpback_acoustic,s_bluecount,blue_acoustic,bwmv,bwmv_rating,zone
6/11/2021,High,active,0,Low Rating,0,Low Rating,0,Low Rating,0.57,low,Socal VSR
6/12/2021,High,active,0,Medium Rating,0,Low Rating,0,Medium Rating,0.59,low,Socal VSR
6/13/2021,High,active,0,Low Rating,0,Low Rating,0,Low Rating,0.61,low,Socal VSR
6/14/2021,High,active,0,Medium Rating,0,Low Rating,0,Low Rating,0.61,low,Socal VSR
6/15/2021,High,active,0,Medium Rating,0,Low Rating,0,Low Rating,0.58,low,Socal VSR
6/16/2021,High,active,0,Low Rating,1,Low Rating,0,Low Rating,0.63,low,Socal VSR
6/17/2021,High,active,0,Low Rating,1,Low Rating,0,Low Rating,0.68,low,Socal VSR
6/18/2021,High,active,0,Low Rating,4,Medium Rating,0,Medium Rating,0.67,low,Socal VSR
6/19/2021,High,active,0,Low Rating,0,Low Rating,0,Low Rating,0.67,low,Socal VSR
6/20/2021,High,active,0,Medium Rating,0,Low Rating,0,Medium Rating,0.7,low,Socal VSR
